Afrikaans	Bengali	Czech	Danish	English	Esperanto	Finnish	Georgian	Hebrew	Italian	Portuguese	Russian	Swahili
				c o u n t i n g   r h y m e		v a l i n t a l o r u					с ч и т а ́ л к а	
				p o l y s p a s t		v ä k i p y ö r ä s t ö			p o l i s p a s t o		п о л и с п а с т	
				a n t i p o s i t i v i s t						a n t i p o s i t i v i s t a		
				P e r o n i s m		p e r o n i s m i			p e r o n i s m o	p e r o n i s m o		
		f r o n t a		f r o n t		r i n t a m a			f r o n t e	f r e n t e		
				P o r t o f e r r a i o					P o r t o f e r r a i o		П о ̀ р т о ф е р р а ́ й о	
		n i o b i t ý		n i o b o u s								
				r e b u y					r i c o m p r a r e			
				A m m o n i t e						a m o n i t a		
			t y r	s t u d		o r i				g a r a n h ã o	ж е р е б е ́ ц	
				h a u g h t i l y		k o p e a s t i			a l t e z z o s a m e n t e		с в ы с о к а ́	
				a q u a m a r i n e	a k v a m a r i n o			ת ַ ּ ר ְ ש ִ ׁ י ש ׁ		á g u a - m a r i n h a	а к в а м а р и ́ н	
				a b o u t   t i m e					e r a   o r a	j á   e r a   t e m p o		
		z r a k o v ý   n e r v		o p t i c   n e r v e		n ä k ö h e r m o			n e r v o   o t t i c o	n e r v o   ó t i c o	з р и ́ т е л ь н ы й   н е р в	
				d e v e l o p e r					s v i l u p p a t o r e			
		a u t o m o b i l o v ý		a u t o m o t i v e		a u t o -			a u t o m o b i l i s t i c o	a u t o m o t i v o	а в т о -	
				s t i m u l a t i o n	s t i m u l a d o					e s t i m u l a ç ã o	с т и м у л и ́ р о в а н и е	
				d i a s t o l i c   b l o o d   p r e s s u r e		a l a p a i n e						
				m o o n l e s s			უ მ თ ვ ა რ ო		i l l u n e			
		s o p e l	s n o t	s n o t	m u k b u l e t o	r ä k ä	ბ ო ტ ო ტ ი	נ ַ ז ֶ ּ ל ֶ ת	m o c c i o	t a t u	с о ́ п л и	
				w a s h   y o u r   m o u t h   o u t							п о м о й   р о т   с   м ы л о м	
				r e s p i t e   c a r e		s i j a i s h o i t o						
		z á s o b n í k o v ý   a u t o m a t		p u s h d o w n   a u t o m a t o n		p i n o a u t o m a a t t i						
				a c t i n o m y c o s i s		s ä d e s i e n i t a u t i			a c t i n o m i c o s i	a c t i n o m i c o s e		
		p o c e n í		p e r s p i r a t i o n	ŝ v i t a d o	h i k o i l e m i n e n			s u d o r e	p e r s p i r a ç ã o	п о т е ́ н и е	
		h y p e r t e x t	h y p e r t e k s t	h y p e r t e x t		h y p e r t e k s t i			i p e r t e s t o	h i p e r t e x t o	г и п е р т е ́ к с т	
				m a r c o p h i l y					m a r c o f i l i a			
				t a c h y a r r h y t h m i a					t a c h i a r i t m i a	t a q u i a r r i t m i a		
				p a t r o l   b o a t		p a r t i o v e n e						
		K r y v y j   R i h		K r y v y i   R i h							К р и в о ́ й   Р о ́ г	
				s o l a r   c y c l e		a u r i n g o n p i l k k u j a k s o						
		c h r o m á   k a c h n a		l a m e   d u c k	l a m a   a n a s o	r a m p a   a n k k a		ב ר ו ו ז   צ ו ל ע	a n a t r a   z o p p a		х р о м а ́ я   у ́ т к а	
		n á ř e č n í		d i a l e c t a l		m u r t e e l l i n e n				d i a l e t a l	д и а л е к т а ́ л ь н ы й	
				a l i g n m e n t		l i n j a u s						
				c a r d i t i s					c a r d i t e			
		p o s t s o v ě t s k ý		p o s t - S o v i e t			პ ო ს ტ ს ა ბ ჭ ო თ ა		p o s t s o v i e t i c o		п о с л е с о в е ́ т с к и й	
				c o n t r o v e r s y	d i s p u t a d o	k i i s t a		ח י ל ו ק י   ד ע ו ת	c o n t r o v e r s i a	c o n t r o v é r s i a	р а з н о г л а ́ с и я	
				c o r o n a l					c o r o n a l e	c o r o n a l		
				u p k e e p		y l l ä p i t o			m a n u t e n z i o n e		с о д е р ж а ́ н и е	
				m a k e   u p		e h o s t a a			t r u c c a r s i	m a q u i a r	к р а ́ с и т ь с я	k i p o d o z i
				N o r f o l k							Н о ́ р ф о л к	
				N o r m a							Н а у г о ́ л ь н и к	
		b a b i č k a   z   o t c o v y   s t r a n y	f a r m o r	p a t e r n a l   g r a n d m o t h e r		i s ä n ä i t i			n o n n a   p a t e r n a	a v ó   p a t e r n a	б а ́ б у ш к а	
		O r j o l	O r j o l	O r y o l		O r j o l	ო რ ი ო ლ ი	א ו ר י ו ל	O r ë l	O r e l	О р ё л	
				p l u n d e r		r y ö s t ä ä			s a c c h e g g i a r e			
				i n v e n t r i x					i n v e n t r i c e			
			b e n	l e g		p u n t t i				c a l ç a	ш т а н и ́ н а	s u r a
				a h i s t o r i c a l l y						a i s t o r i c a m e n t e	а н т и и с т о р и ́ ч е с к и	
				s c r a t c h					g r a f f i a r e	a r r a n h a r	п о ц а р а ́ п а т ь	
				r o a d   t o   D a m a s c u s		k ä ä n n e k o h t a					п о в о р о т н ы й   м о м е н т	
				s e r p e n t i n e		m u t k i k a s				s i n u o s o	з м е е в и ́ д н ы й	
				b a c k g r o u n d		t a u s t a		ר ק ע	b a g a g l i o   c u l t u r a l e	e x p e r i ê n c i a	б э к г р а ́ у н д	
		k a n i b a l		m a n - e a t e r		i h m i s s y ö j ä					к а н и б а л	
				t h i r d - d e g r e e   b u r n		k o l m a n n e n   a s t e e n   p a l o v a m m a				q u e i m a d u r a   d e   t e r c e i r o   g r a u	о ж о ́ г   т р е ́ т ь е й   с т е ́ п е н и	
				p o t e n t i a l	p o t e n c i a l o	p o t e n t i a a l i			p o t e n z i a l e	p o t e n c i a l	п о т е н ц и а ́ л	
		E l   N i ň o		E l   N i ñ o	E l - N i n j o	E l   N i ñ o				E l   N i ñ o	Э л ь - Н и ́ н ь о	
		j e d n o   v e l k é   u c h o	l u t t e r   ø r e	a l l   e a r s					t u t t o   o r e c c h i	s e r   t o d o   o u v i d o s	о б р а т и ́ т ь с я   в   с л у х	
			k r i g s f i l m	w a r   f i l m		s o t a e l o k u v a						
				t u i t i o n		o p e t u s				t u t e l a g e m	з а н я ́ т и я	m a s o m o   y a   z i a d a
		s k i c a		d r a f t		l u o n n o s		ט ְ י ו ּ ט ָ ה	b r u t t a   c o p i a	e s b o ç o	н а б р о ́ с о к	m p e p e a
		m a t k o v r a ž d a		m a t r i c i d e		ä i d i n m u r h a					м а т е р е у б и ́ й с т в о	
			k o l d b l o d i g h e d	s a n g f r o i d		k y l m ä p ä i s y y s			i m p e r t u r b a b i l i t à	s a n g u e - f r i o	с а м о о б л а д а ́ н и е	
				t o m e n t u m					t o m e n t o			
				d i s h o n e s t		e p ä r e h e l l i n e n			d i s o n e s t o	d e s o n e s t o	б е с ч е ́ с т н ы й	
				a m i n o x i d e						a m i n ó x i d o		
				g r a t u i t y		j u o m a r a h a					б о н у с	
				b i r d s h i t		l i n n u n p a s k a	ს კ ი ნ ტ ლ ი					
				p s a m m o m a t o u s					p s a m m o m a t o s o			
	স া ক ে		s a k e	s a k e	s a k e o	s a k e	ს ა კ ე	ס ָ א ק ֶ ה	s a k è	s a q u ê	с а к е ́	
		p o d á n í		s e r v i c e		a l o i t u s s y ö t t ö				s a q u e	п о д а ́ ч а	
				r a c l e t t e		r a c l e t t e j u u s t o						
				c o n g e r   e e l		m e r i a n k e r i a s	გ ვ ე ლ თ ე ვ ზ ა		g r o n g o	c o n g r o	м о р с к о ́ й   у ́ г о р ь	
	ত া ল া	z á m e k	l å s	l o c k	s e r u r o	l u k k o	ს ა კ ე ტ ი	מ ַ נ ְ ע ו ּ ל	l u c c h e t t o	c a d e a d o	з а т в о ́ р	
				b u n d l e		t o p a t a						f u r u s h i
				s p e c k l e		s i r o n t a						
				y o							ё	
				b r e a d t h - f i r s t   s e a r c h					v i s i t a   i n   a m p i e z z a			
K e l t i e s		k e l t s k ý		C e l t i c	k e l t a	k e l t t i l ä i n e n			c e l t i c h e	c e l t a	к е ́ л ь т с к и й	
				h e p t a h e d r o n	s e p e d r o				e p t a e d r o	h e p t a e d r o	с е м и г р а ́ н н и к	
			s a m a r i t a n s k	S a m a r i t a n		s a m a r i a l a i n e n			s a m a r i t a n o	s a m a r i t a n o	с а м а р и т я ́ н с к и й	
		o c e á n o g r a f		o c e a n o g r a p h e r	o c e a n o g r a f i s t o				o c e a n o g r a f o	o c e a n ó g r a f o	о к е а н о ́ г р а ф	
		p r o s í m ,   p o d e j   s ů l	m å   j e g   b e d e   o m   s a l t e t	p l e a s e   p a s s   t h e   s a l t			თ უ   შ ე ი ძ ლ ე ბ ა ,   გ ა დ ა ა წ ო დ ე თ   მ ა რ ი ლ ი	ה ַ ע ֲ ב ִ י ר ִ י   ה ַ מ ֶ ל ַ ח ,   ב ְ ּ ב ַ ק ָ ּ ש ָ ׁ ה	p e r   f a v o r e ,   p a s s a r e   i l   s a l e	p o r   f a v o r ,   p a s s e   o   s a l	п о ж а ́ л у й с т а ,   п е р е д а в а ́ й   с о л ь	
				t a i n t		t u r m e l l a			m a c c h i a r e	m a c u l a r		
				b a i j i		k i i n a n j o k i d e l f i i n n i					б а й ц з и ́	
		d v a k r á t   m ě ř ,   j e d n o u   ř e ž		m e a s u r e   t w i c e   a n d   c u t   o n c e		m i t t a a   k a h d e s t i   j a   l e i k k a a   k e r r a n					с е м ь   р а з   о т м е ́ р ь ,   о д и ́ н   о т р е ́ ж ь	
				o u t b o x		l ä h e t e t y t - k a n s i o						
				a l e c t r y o m a n c y						a l e c t r o m a n c i a		
				i n s i d e   p o c k e t		s i s ä t a s k u						
		m i o c é n		M i o c e n e		m i o s e e n i k a u s i	მ ი ო ც ე ნ ი ს   ე პ ო ქ ა		M i o c e n e	m i o c ê n i c o		
				c r i m e   a g a i n s t   h u m a n i t y		r i k o s   i h m i s y y t t ä   v a s t a a n	დ ა ნ ა შ ა უ ლ ი   კ ა ც ო ბ რ ი ო ბ ი ს   წ ი ნ ა ა ღ მ დ ე გ			c r i m e   c o n t r a   a   h u m a n i d a d e	п р е с т у п л е ́ н и е   п р о ́ т и в   ч е л о в е ́ ч е с т в а	
				s t u n   g u n		t y r m ä y s a s e					э л е к т р о ш о ́ к е р	
				s w e a r i n g					g i u r a m e n t o			
		B y z a n t i n e c	b y z a n t i n e r	B y z a n t i n e		b y s a n t t i l a i n e n				b i z a n t i n a	в и з а н т и ́ й к а	
				c h u g		s i e m a u s				d r a g a r	г л о т о ́ к	
		l a t i n i z a c e		L a t i n i z a t i o n		l a t i n a l a i s t a m i n e n				l a t i n i z a ç ã o	л а т и н и з а ́ ц и я	
		u p ř í m n o s t		c a n d o r		s u o r u u s				f r a n q u e z a	ч е ́ с т н о с т ь	
				c a t e c h e s i s						c a t e q u e s e	к а т е х и ́ з и с	
		n a r k o l e p s i e	n a r k o l e p s i	n a r c o l e p s y		n u k a h t e l u s a i r a u s	ნ ა რ კ ო ლ ე ფ ს ი ა			n a r c o l e p s i a	н а р к о л е ́ п с и я	
				C o u r l a n d e r		k u u r i					к у р л я ́ н д к а	
				s c r a t c h i n g   p o s t					g r a t t a t o i o			
			r u d e r   e s	a c e   o f   d i a m o n d s	k a r o a   a s o	r u u t u ä s s ä			a s s o   d i   q u a d r i		т у з   б у ́ б е н	
		l ů z o v l á d a		o c h l o c r a c y		a l h a i s o v a l t a			o c l o c r a z i a	o c l o c r a c i a	о х л о к р а ́ т и я	
				a n t i m e t a b o l e						a n t i m e t á b o l e		
				d e f e n e s t r a t e					d e f e n e s t r a r e	d e f e n e s t r a r		
				c o u n t e r m e a s u r e		v a s t a t o i m i				c o n t r a m e d i d a	к о н т р м е ́ р а	
				s i x - p a c k		s i k s p ä k k i						
				l a b y r i n t h i n e		s e k a v a				l a b i r í n t i c o	т р у ́ д н ы й   д л я   п о н и м а н и я	
				d u c k p o n d		a n k k a l a m m i k k o						
				l e g e n d					l e g g e n d a	l e n d a	л е г е н д а	
		v z t a h o v a č n o s t		t o u c h i n e s s		a r k a t u n t e i s u u s			s p i g o l o s i t à			
				a p o l o g e t i c a l l y					a p o l o g e t i c a m e n t e			
				c o v e r i n g		p e i t e		ע ֲ ט ִ י פ ָ ה				
				P l a t o n i c   s o l i d	p l a t o n a   s o l i d o	P l a t o n i n   k a p p a l e			s o l i d o   p l a t o n i c o		п л а т о ́ н о в о   т е ́ л о	
				b e t h					b e t			
p i e s a n g	ক ল া	b a n á n o v ý	b a n a n	b a n a n a	b a n a n o	b a n a a n i	ბ ა ნ ა ნ ი	ב ָ ּ נ ָ נ ָ ה	b a n a n a	b a n a n a	б а н а ́ н	n d i z i
				m e a d o w   b r o w n							к р у п н о г л а ́ з к а   в о л о ́ в и й   г л а з	
				p l o w e r							п а ́ х а р ь	
			u d v i k l i n g	d e v e l o p m e n t		p e l i n r a k e n t a m i n e n						
		s k r o l o v a c í   k o l e č k o		s c r o l l   w h e e l								
				h o r n		l u u r i						
			r e n	s w e e t		p u h d a s			g e n u i n o	p u r o		p i p i
		s p r á v c e		a d m i n i s t r a t o r		y l l ä p i t ä j ä				a d m i n		
				b u m		p e r s e e n r e i k ä			a n o	t o b a		
				s e a w o l f		k i s s a k a l a						
		d o k o n č e n ý	f æ r d i g	f i n i s h e d		v a l m i s				f i n a l i z a d o	з а в е р ш ё н н ы й	
		r o l á k		p o l o - n e c k		p o o l o p a i t a						
		p r o f e s i o n á l n í		p r o f e s s i o n a l		a m m a t t i t a i t o i n e n				p r o f i s s i o n a l	п р о ф е с с и о н а ́ л ь н ы й	
		v á p n i t		l i m e		k a l k i t a				c a i a r	р а з б р а ́ с ы в а т ь   и ́ з в е с т ь	
				h o u s e h o l d e r		m a a l l i k k o						
				a l g o l o g i c a l						a l g o l ó g i c o		
				s k y h o o k		k u l j e t u s h e l i k o p t e r i						
		m a x i m a l i z o v a t		m a x i m i z e		m a k s i m o i d a					у в е л и ́ ч и в а т ь   м а к с и м а ́ л ь н о	
				v i l l e i n							х о л о ́ п	
				n e o p l a s m					n e o p l a s m a		б л а с т о ́ м а	
		t y č		r o d					p e r t i c a			
				s u l f u r a t e d					s o l f o r a t o			
				b a l o n e y					s c i o c c h e z z a		к о л б а с н я	
				f l y e r					v o l a t o r e	p i l o t o		
				k i c k   s o m e o n e   w h e n   t h e y   a r e   d o w n		l y ö t y			p u g n a l a r e   u n   u o m o   m o r t o		б и т ь   л е ж а ́ ч е г о	
				a c a u s a l i t y						a c a u s a l i d a d e		
		p r a v d i v ý		t r u t h f u l		t o t u u d e n m u k a i n e n			r e a l i s t a		п р а в д и ́ в ы й	
		š o s á k	s p i d s b o r g e r	P h i l i s t i n e		f i l i s t e r i				f i l i s t e u	м е щ а н и ́ н	
				a n u m e r i c a l						a n u m é r i c o		
		z o b r a z i t		v i e w		n ä h d ä						
				N i š							Н и ш	
	এ র ি ক	E r i k	E r i k	E r i c	E r i k o	E r k k i	ე რ ი ქ		E r i c o	É r i c o	Э ́ р и к	
				o l e s t r a							о л е с т р а	
			i n v a d e r e	i n v a d e	i n v a d i	h y ö k ä t ä			i n v a d e r e	i n v a d i r	н а п а ́ с т ь	
				P e r i k h a n y a n							П е р и х а н я ́ н	
		t a k o v ý		s u c h		a i k a m o i n e n					т а к о ́ й	
		k n i h o v n a	b i b l i o t e k	l i b r a r y	l i b r a r o	k i r j a s t o		ס פ ר י ה	l i b r e r i a	b i b l i o t e c a	б и б л и о т е ́ к а	m a k t a b a
				c o v e r t							п о т а й н о ́ й	
				h y p e r p a t h i a					i p e r p a t i a			
f i l t e r v o e d e r				f i l t e r   f e e d e r					f i l t r a t o r e			
				s p o i l	r i v e l i							
		e x p e r i m e n t á l n í		e x p e r i m e n t a l		k o k e e l l i n e n			s p e r i m e n t a l e	e x p e r i m e n t a l	о ́ п ы т н ы й	
				p r o v o c a t i v e n e s s		p r o v o k a t i i v i s u u s						
				c o - m o t h e r - i n - l a w	k u n b o p a t r i n o			מ ח ו ת נ ת	c o n s u o c e r a	c o n s o g r a	с в а ́ т ь я	
				e p u l a r y							п и ́ р ш е с т в е н н ы й	
				i n   p e a c e		r a u h a s s a					с   м и р о м	
		g e r m á n s k ý	g e r m a n s k	G e r m a n i c	ĝ e r m a n a	g e r m a a n i n e n			g e r m a n i c o	a l e m ã o	г е р м а ́ н с к и й	M j e r u m a n i k i
				t r i b u n e						t r i b u n o	т р и б у ́ н	
			t u r	t u r n		v u o r o		ת ו ר	t u r n o	j o g a d a	х о д	z a m u
			A a r g a u	A a r g a u					A r g o v i a		А ́ а р г а у	
				t r a d i t i o n a l i s m		p e r i n t e i s y y s					т р а д и ц и о н а л и ́ з м	
				S o l o t h u r n					C a n t o n   S o l e t t a			
		v o l s k é   o k o	s p e j l æ g	f r i e d   e g g					u o v o   a l   t e g a m i n o	o v o   e s t r e l a d o	я и ́ ч н и ц а	
		o d d ě l i t   z r n o   o d   p l e v	s k i l l e   k l i n t e n   f r a   h v e d e n	s e p a r a t e   t h e   w h e a t   f r o m   t h e   c h a f f		e r o t t a a   j y v ä t   a k a n o i s t a		ל ָ ב ו ּ ר   א ֶ ת   ה ַ ב ָ ּ ר   מ ִ ן   ה ַ ת ֶ ּ ב ֶ ן	s e p a r a r e   i l   b u o n o   d a l   c a t t i v o	s e p a r a r   o   j o i o   d o   t r i g o	о т д е л и ́ т ь   з ё р н а   о т   п л е ́ в е л	
			u s y n l i g   l y s e r ø d   e n h j ø r n i n g	I n v i s i b l e   P i n k   U n i c o r n					I n v i s i b i l e   U n i c o r n o   R o s a		н е в и д и м ы й   р о з о в ы й   е д и н о р о г	P e m b e m o j a   A s i y e o n e k a n a   w a   P i n k i
				l a c r i m a l   a p p a r a t u s		k y y n e l e l i m e t						
		E s p a n g l i s h		S p a n g l i s h	s p a n g l i s h	s p a n g l i s h			s p a n g l i s h	e s p a n g l ê s	с п а н г л и ш	
				a f f i n i t y		m i e l t y m y s					р о м а ́ н	
				o n u s					o n e r e			
		t r o u f a l ý	t a p p e r	b o l d	a ŭ d a c a	v o i m a k a s	გ უ ლ ა დ ი	א מ י צ ה	c o r a g g i o s o	a u d a c i o s o	о т в а ́ ж н ы й	
		g a b a r d é n		g a b a r d i n e		g a b a r d i i n i		ג ב ר ד י ן	g a b a r d i n e		г а б а р д и ́ н	
				d e a d   c a l m		r a s v a t y y n i						
		k o ž e n k a		l e a t h e r e t t e		k e i n o n a h k a						
				i n t e r m i t t e n t l y		a i k a   a j o i n	წ ყ ვ ე ტ ი ლ ა დ			i n t e r m i t e n t e m e n t e	п у л ь с и р о в а т ь	
				m a i d		n e i t o		ע ל מ ה	s i g n o r i n a	m o ç a	д е ́ в у ш к а	w a f a n y i k a z i
		m e n u e t		m i n u e t		m e n u e t t i				m i n u e t o	м е н у э т	
