Orthography	Segments
A C C E N T U A T I N G	æ k s ɛ n tʃ u eɪ t ɪ ŋ
A C C E P T	æ k s ɛ p t
A C C E P T	ʌ k s ɛ p t
A C C E P T A B I L I T Y	ʌ k s ɛ p t ʌ b ɪ l ʌ t i
A C C E P T A B L E	æ k s ɛ p t ʌ b ʌ l
A C C E P T A B L E	ʌ k s ɛ p t ʌ b ʌ l
A C C E P T A B L Y	æ k s ɛ p t ʌ b l i
A C C E P T A B L Y	ʌ k s ɛ p t ʌ b l i
A C C E P T A N C E	æ k s ɛ p t ʌ n s
A C C E P T A N C E	ʌ k s ɛ p t ʌ n s
A C C E P T A N C E S	æ k s ɛ p t ʌ n s ɪ z
A C C E P T E D	æ k s ɛ p t ɪ d
A C C E P T I N G	æ k s ɛ p t ɪ ŋ
A C C E P T I N G	ʌ k s ɛ p t ɪ ŋ
A C C E P T S	æ k s ɛ p t s
A C C E S S	æ k s ɛ s
A C C E S S E D	æ k s ɛ s t
A C C E S S I B I L I T Y	æ k s ɛ s ʌ b ɪ l ɪ t i
A C C E S S I B L E	æ k s ɛ s ʌ b ʌ l
A C C E S S I N G	æ k s ɛ s ɪ ŋ
A C C E S S I O N	ʌ k s ɛ ʃ ʌ n
A C C E S S O R I E S	æ k s ɛ s ɝ i z
A C C E S S O R I Z E	æ k s ɛ s ɝ aɪ z
A C C E S S O R I Z E D	æ k s ɛ s ɝ aɪ z d
A C C E S S O R Y	æ k s ɛ s ɝ i
A C C E T T A	ɑ tʃ ɛ t ʌ
A C C I D E N T	æ k s ʌ d ʌ n t
A C C I D E N T S	æ k s ʌ d ʌ n t s
A C C I D E N T A L	æ k s ʌ d ɛ n t ʌ l
A C C I D E N T A L	æ k s ʌ d ɛ n ʌ l
A C C I D E N T A L L Y	æ k s ʌ d ɛ n t ʌ l i
A C C I D E N T A L L Y	æ k s ʌ d ɛ n ʌ l i
A C C I D E N T L Y	æ k s ʌ d ʌ n t l i
A C C I D E N T S	æ k s ʌ d ʌ n t s
A C C I O N	æ tʃ i ʌ n
A C C I V A L	æ s ɪ v ɑ l
A C C L A I M	ʌ k l eɪ m
A C C L A I M S	ʌ k l eɪ m z
A C C L A I M E D	ʌ k l eɪ m d
A C C L A I M I N G	ʌ k l eɪ m ɪ ŋ
A C C L A I M S	ʌ k l eɪ m z
A C C L A M A T I O N	æ k l ʌ m eɪ ʃ ʌ n
A C C L I M A T E	æ k l ʌ m eɪ t
A C C L I M A T E D	æ k l ʌ m eɪ t ɪ d
A C C L I M A T I O N	æ k l ʌ m eɪ ʃ ʌ n
A C C O	æ k oʊ
A C C O K E E K	æ k oʊ k i k
A C C O L A	ɑ k oʊ l ʌ
A C C O L A D E	æ k ʌ l eɪ d
A C C O L A D E S	æ k ʌ l eɪ d z
A C C O M A N D O	ɑ k oʊ m ɑ n d oʊ
A C C O M M O D A T E	ʌ k ɑ m ʌ d eɪ t
A C C O M M O D A T E D	ʌ k ɑ m ʌ d eɪ t ɪ d
A C C O M M O D A T E S	ʌ k ɑ m ʌ d eɪ t s
A C C O M M O D A T I N G	ʌ k ɑ m ʌ d eɪ t ɪ ŋ
A C C O M M O D A T I O N	ʌ k ɑ m ʌ d eɪ ʃ ʌ n
A C C O M M O D A T I O N S	ʌ k ɑ m ʌ d eɪ ʃ ʌ n z
A C C O M M O D A T I V E	ʌ k ɑ m ʌ d eɪ t ɪ v
A C C O M P A N I E D	ʌ k ʌ m p ʌ n i d
A C C O M P A N I E S	ʌ k ʌ m p ʌ n i z
A C C O M P A N I M E N T	ʌ k ʌ m p n ɪ m ʌ n t
A C C O M P A N I M E N T	ʌ k ʌ m p n i m ʌ n t
A C C O M P A N I M E N T S	ʌ k ʌ m p n ɪ m ʌ n t s
A C C O M P A N I M E N T S	ʌ k ʌ m p n i m ʌ n t s
A C C O M P A N I S T	ʌ k ʌ m p ʌ n ʌ s t
A C C O M P A N Y	ʌ k ʌ m p ʌ n i
A C C O M P A N Y I N G	ʌ k ʌ m p ʌ n i ɪ ŋ
A C C O M P L I	ɑ k ɑ m p l i
A C C O M P L I	ʌ k ɑ m p l i
A C C O M P L I C E	ʌ k ɑ m p l ʌ s
A C C O M P L I C E S	ʌ k ɑ m p l ʌ s ʌ z
A C C O M P L I S H	ʌ k ɑ m p l ɪ ʃ
A C C O M P L I S H E D	ʌ k ɑ m p l ɪ ʃ t
A C C O M P L I S H E S	ʌ k ɑ m p l ɪ ʃ ɪ z
A C C O M P L I S H I N G	ʌ k ɑ m p l ɪ ʃ ɪ ŋ
A C C O M P L I S H M E N T	ʌ k ɑ m p l ɪ ʃ m ʌ n t
A C C O M P L I S H M E N T S	ʌ k ɑ m p l ɪ ʃ m ʌ n t s
A C C O R	æ k ɔ ɹ
A C C O R S	æ k ɝ z
A C C O R D	ʌ k ɔ ɹ d
A C C O R D S	ʌ k ɔ ɹ d z
A C C O R D A N C E	ʌ k ɔ ɹ d ʌ n s
A C C O R D E D	ʌ k ɔ ɹ d ɪ d
A C C O R D I N G	ʌ k ɔ ɹ d ɪ ŋ
A C C O R D I N G L Y	ʌ k ɔ ɹ d ɪ ŋ l i
A C C O R D I O N	ʌ k ɔ ɹ d i ʌ n
A C C O R D I O N S	ʌ k ɔ ɹ d i ʌ n z
A C C O R D S	ʌ k ɔ ɹ d z
A C C O S T	ʌ k ɔ s t
A C C O S T E D	ʌ k ɑ s t ɪ d
A C C O S T I N G	ʌ k ɑ s t ɪ ŋ
A C C O U N T	ʌ k aʊ n t
A C C O U N T S	ʌ k aʊ n t s
A C C O U N T A B I L I T Y	ʌ k aʊ n t ʌ b ɪ l ɪ t i
A C C O U N T A B L E	ʌ k aʊ n t ʌ b ʌ l
A C C O U N T A N C Y	ʌ k aʊ n t ʌ n t s i
A C C O U N T A N T	ʌ k aʊ n t ʌ n t
A C C O U N T A N T S	ʌ k aʊ n t ʌ n t s
A C C O U N T A N T S	ʌ k aʊ n t ʌ n t s
A C C O U N T A N T S	ʌ k aʊ n t ʌ n t s
A C C O U N T E D	ʌ k aʊ n t ɪ d
A C C O U N T E M P	ʌ k aʊ n t ɛ m p
A C C O U N T E M P S	ʌ k aʊ n t ɛ m p s
A C C O U N T I N G	ʌ k aʊ n t ɪ ŋ
A C C O U N T I N G	ʌ k aʊ n ɪ ŋ
A C C O U N T S	ʌ k aʊ n t s
A C C O U T E R M E N T	ʌ k u t ɝ m ʌ n t
A C C O U T E R M E N T S	ʌ k u t ɝ m ʌ n t s
A C C O U T R E M E N T	ʌ k u t ɝ m ʌ n t
A C C O U T R E M E N T S	ʌ k u t ɝ m ʌ n t s
A C C R A	ɑ k ɹ ɑ
A C C R E D I T	ʌ k ɹ ɛ d ɪ t
A C C R E D I T A T I O N	ʌ k ɹ ɛ d ʌ t eɪ ʃ ʌ n
A C C R E D I T A T I O N S	ʌ k ɹ ɛ d ʌ t eɪ ʃ ʌ n z
A C C R E D I T E D	ʌ k ɹ ɛ d ɪ t ɪ d
A C C R E D I T I N G	ʌ k ɹ ɛ d ʌ t ɪ ŋ
A C C R E T E D	ʌ k ɹ i t ɪ d
A C C R E T I O N	ʌ k ɹ i ʃ ʌ n
A C C R U A L	ʌ k ɹ u ʌ l
A C C R U A L S	ʌ k ɹ u ʌ l z
A C C R U E	ʌ k ɹ u
A C C R U E D	ʌ k ɹ u d
A C C R U E S	ʌ k ɹ u z
A C C R U I N G	ʌ k ɹ u ɪ ŋ
A C C U	æ k j u
A C C U H E A L T H	æ k j u h ɛ l θ
A C C U M U L A T E	ʌ k j u m j ʌ l eɪ t
A C C U M U L A T E D	ʌ k j u m j ʌ l eɪ t ɪ d
A C C U M U L A T E S	ʌ k j u m j ʌ l eɪ t s
A C C U M U L A T I N G	ʌ k j u m j ʌ l eɪ t ɪ ŋ
A C C U M U L A T I O N	ʌ k j u m j ʌ l eɪ ʃ ʌ n
A C C U M U L A T I O N S	ʌ k j u m j ʌ l eɪ ʃ ʌ n z
A C C U M U L A T I V E	ʌ k j u m j ʌ l eɪ t ɪ v
A C C U M U L A T I V E L Y	ʌ k j u m j ʌ l eɪ t ɪ v l i
A C C U M U L A T I V E L Y	ʌ k j u m j ʌ l ʌ t ɪ v l i
A C C U M U L A T O R	ʌ k j u m j ʌ l eɪ t ɝ
A C C U M U L A T O R S	ʌ k j u m j ʌ l eɪ t ɝ z
A C C U R A C I E S	æ k j ɝ ʌ s i z
A C C U R A C Y	æ k j ɝ ʌ s i
A C C U R A T E	æ k j ɝ ʌ t
A C C U R A T E L Y	æ k j ɝ ʌ t l i
A C C U R A Y	æ k j ɝ eɪ
A C C U R A Y S	æ k j ɝ eɪ z
A C C U R I D E	æ k j ɝ aɪ d
A C C U R S E D	æ k ɝ s t
A C C U R S O	ɑ k ʊ ɹ s oʊ
A C C U S A T I O N	æ k j ʌ z eɪ ʃ ʌ n
A C C U S A T I O N	æ k j u z eɪ ʃ ʌ n
A C C U S A T I O N S	æ k j ʌ z eɪ ʃ ʌ n z
A C C U S A T I O N S	æ k j u z eɪ ʃ ʌ n z
A C C U S A T I V E	ʌ k j u z ʌ t ɪ v
A C C U S A T O R Y	ʌ k j u z ʌ t ɔ ɹ i
A C C U S E	ʌ k j u z
A C C U S E D	ʌ k j u z d
A C C U S E R	ʌ k j u z ɝ
A C C U S E R S	ʌ k j u z ɝ z
A C C U S E S	ʌ k j u z ɪ z
A C C U S I N G	ʌ k j u z ɪ ŋ
A C C U S I N G L Y	ʌ k j u z ɪ ŋ l i
A C C U S T O M	ʌ k ʌ s t ʌ m
A C C U S T O M E D	ʌ k ʌ s t ʌ m d
A C C U T A N E	æ k j u t eɪ n
A C E	eɪ s
A C E C O M M	eɪ s k ɑ m
A C E D	eɪ s t
A C E R	eɪ s ɝ
A C E R B I C	ʌ s ɛ ɹ b ɪ k
A C E R O	ʌ s ɛ ɹ oʊ
A C E R O	ʌ s j ɛ ɹ oʊ
A C E R O	ʌ θ ɛ ɹ oʊ
A C E R R A	ʌ s ɛ ɹ ʌ
A C E S	eɪ s ɪ z
A C E T A M I N O P H E N	ʌ s i t ʌ m ɪ n ʌ f ʌ n
A C E T A T E	æ s ʌ t eɪ t
A C E T I C	ʌ s ɛ t ɪ k
A C E T I C	ʌ s i t ɪ k
A C E T O	ɑ s ɛ t oʊ
A C E T O C H L O R	ɑ s ɛ t oʊ k l ɔ ɹ
A C E T O N E	æ s ʌ t oʊ n
A C E T O S Y R I N G O N E	ʌ s ɛ t oʊ s ɪ ɹ ɪ ŋ ɡ ɔ n
A C E T Y L C H O L I N E	ʌ s ɛ t ʌ l k oʊ l i n
A C E T Y L C H O L I N E	ʌ s i t ʌ l k oʊ l i n
A C E T Y L E N E	ʌ s ɛ t ʌ l i n
A C E V E D O	æ s ʌ v eɪ d oʊ
A C E V E S	ɑ s eɪ v ɛ s
A C E Y	eɪ s i
A C H A E A N	ʌ tʃ i ʌ n
A C H A T Z	æ k ʌ t s
A C H E	eɪ k
A C H E B E	ɑ tʃ eɪ b i
A C H E D	eɪ k t
A C H E E	ʌ tʃ i
A C H E N B A C H	æ k ɪ n b ɑ k
A C H E N B A U M	æ k ʌ n b aʊ m
A C H E N E	ʌ k i n
A C H E N E S	ʌ k i n z
A C H E S	eɪ k s
A C H E S O N	æ tʃ ʌ s ʌ n
A C H E S O N S	æ tʃ ʌ s ʌ n z
A C H E S O N S	æ tʃ ʌ s ʌ n z
A C H E Y	æ tʃ i
A C H I E V A	ʌ tʃ i v ʌ
A C H I E V A B L E	ʌ tʃ i v ʌ b ʌ l
A C H I E V E	ʌ tʃ i v
A C H I E V E D	ʌ tʃ i v d
A C H I E V E M E N T	ʌ tʃ i v m ʌ n t
A C H I E V E M E N T S	ʌ tʃ i v m ʌ n t s
A C H I E V E R	ʌ tʃ i v ɝ
A C H I E V E R S	ʌ tʃ i v ɝ z
A C H I E V E S	ʌ tʃ i v z
A C H I E V I N G	ʌ tʃ i v ɪ ŋ
A C H I L L E	ʌ k ɪ l i
A C H I L L E S	ʌ k ɪ l i z
A C H I L L E S	ʌ k ɪ l i z
A C H I N G	eɪ k ɪ ŋ
A C H I N G L Y	eɪ k ɪ ŋ l i
A C H M E D	ɑ h m ɛ d
A C H O A	ʌ tʃ oʊ ʌ
A C H O A S	ʌ tʃ oʊ ʌ z
A C H O O	ɑ tʃ u
A C H O R	eɪ k ɝ
A C H O R D	æ k ɔ ɹ d
A C H O R N	æ k ɝ n
A C H T E N B E R G	æ k t ɛ n b ɝ ɡ
A C H T E R B E R G	æ k t ɝ b ɝ ɡ
A C H Y	eɪ k i
A C I D	æ s ɪ d
A C I D I C	ʌ s ɪ d ɪ k
A C I D I F I C A T I O N	ʌ s ɪ d ʌ f ʌ k eɪ ʃ ʌ n
A C I D I F I E D	ʌ s ɪ d ʌ f aɪ d
A C I D I F I E S	ʌ s ɪ d ʌ f aɪ z
A C I D I F Y	ʌ s ɪ d ʌ f aɪ
A C I D I T Y	ʌ s ɪ d ʌ t i
A C I D L Y	æ s ɪ d l i
A C I D O S I S	æ s ɪ d oʊ s ʌ s
A C I D S	æ s ɪ d z
A C I D U R I A	æ s ɪ d ʊ ɹ i ʌ
A C I E R N O	ɑ s ɪ ɹ n oʊ
A C K	æ k
A C K E R	æ k ɝ
A C K E R S	æ k ɝ z
A C K E R L E Y	æ k ɝ l i
A C K E R L Y	æ k ɝ l i
A C K E R M A N	æ k ɝ m ʌ n
A C K E R M A N N	æ k ɝ m ʌ n
A C K E R M A N V I L L E	æ k ɝ m ʌ n v ɪ l
A C K E R S O N	æ k ɝ s ʌ n
A C K E R T	æ k ɝ t
A C K H O U S E	æ k h aʊ s
A C K L A N D	æ k l ʌ n d
A C K L E S	æ k ʌ l z
A C K L E Y	æ k l i
A C K L I N	æ k l ɪ n
A C K M A N	æ k m ʌ n
A C K N O W L E D G E	æ k n ɑ l ɪ dʒ
A C K N O W L E D G E A B L E	æ k n ɑ l ɪ dʒ ʌ b ʌ l
A C K N O W L E D G E D	æ k n ɑ l ɪ dʒ d
A C K N O W L E D G E M E N T	æ k n ɑ l ɪ dʒ m ʌ n t
A C K N O W L E D G E M E N T S	æ k n ɑ l ɪ dʒ m ʌ n t s
A C K N O W L E D G E S	æ k n ɑ l ɪ dʒ ɪ z
A C K N O W L E D G I N G	æ k n ɑ l ɪ dʒ ɪ ŋ
A C K N O W L E D G M E N T	æ k n ɑ l ɪ dʒ m ʌ n t
A C K N O W L E D G M E N T S	æ k n ɑ l ɪ dʒ m ʌ n t s
A C K R O Y D	æ k ɹ ɔɪ d
A C K R O Y D S	æ k ɹ ɔɪ d z
A C M	eɪ s i ɛ m
A C M A T	æ k m æ t
A C M A T S	æ k m æ t s
A C M E	æ k m i
A C M E S	æ k m i z
A C N E	æ k n i
A C O C E L L A	ɑ k oʊ tʃ ɛ l ʌ
A C O F F	æ k ɔ f
A C O G	ʌ k ɔ ɡ
A C O L Y T E	æ k ʌ l aɪ t
A C O L Y T E S	æ k ʌ l aɪ t s
A C O R D	ʌ k ɔ ɹ d
A C O R D I A	ʌ k ɔ ɹ d i ʌ
A C O R N	eɪ k ɔ ɹ n
A C O R N S	eɪ k ɔ ɹ n z
A C O R N S	eɪ k ɔ ɹ n z
A C O S T A	ʌ k ɔ s t ʌ
A C O T T	eɪ k ɔ t
A C O U S T I C	ʌ k u s t ɪ k
A C O U S T I C A L	ʌ k u s t ɪ k ʌ l
A C O U S T I C A L L Y	ʌ k u s t ɪ k l i
A C O U S T I C S	ʌ k u s t ɪ k s
A C Q U A I N T	ʌ k w eɪ n t
A C Q U A I N T A N C E	ʌ k w eɪ n t ʌ n s
A C Q U A I N T A N C E S	ʌ k w eɪ n t ʌ n s ɪ z
A C Q U A I N T A N C E S H I P	ʌ k w eɪ n t ʌ n s ʃ ɪ p
A C Q U A I N T E D	ʌ k w eɪ n t ɪ d
A C Q U A I N T E D	ʌ k w eɪ n ɪ d
A C Q U A V I V A	ɑ k w ɑ v i v ʌ
A C Q U I E S C E	æ k w i ɛ s
A C Q U I E S C E D	æ k w i ɛ s t
A C Q U I E S C E N C E	æ k w i ɛ s ʌ n s
A C Q U I E S C E N T	æ k w i ɛ s ʌ n t
A C Q U I E S C I N G	æ k w i ɛ s ɪ ŋ
A C Q U I R E	ʌ k w aɪ ɝ
A C Q U I R E D	ʌ k w aɪ ɝ d
A C Q U I R E R	ʌ k w aɪ ɝ ɝ
A C Q U I R E R S	ʌ k w aɪ ɝ ɝ z
A C Q U I R E R S	ʌ k w aɪ ɝ ɝ z
A C Q U I R E S	ʌ k w aɪ ɝ z
A C Q U I R I N G	ʌ k w aɪ ɹ ɪ ŋ
A C Q U I R I N G	ʌ k w aɪ ɝ ɪ ŋ
A C Q U I S I T I O N	æ k w ʌ z ɪ ʃ ʌ n
A C Q U I S I T I O N S	æ k w ʌ z ɪ ʃ ʌ n z
A C Q U I S I T I O N S	æ k w ʌ z ɪ ʃ ʌ n z
A C Q U I S I T I V E	ʌ k w ɪ z ʌ t ɪ v
A C Q U I T	ʌ k w ɪ t
A C Q U I T A I N E	æ k w ɪ t eɪ n
A C Q U I T S	ʌ k w ɪ t s
A C Q U I T T A L	ʌ k w ɪ t ʌ l
A C Q U I T T A L S	ʌ k w ɪ t ʌ l z
A C Q U I T T E D	ʌ k w ɪ t ɪ d
A C Q U I T T I N G	ʌ k w ɪ t ɪ ŋ
A C R E	eɪ k ɝ
A C R E A G E	eɪ k ʌ ɹ ɪ dʒ
A C R E A G E	eɪ k ɹ ɪ dʒ
A C R E E	ʌ k ɹ i
A C R E S	eɪ k ɝ z
A C R E Y	æ k ɹ i
A C R I	ɑ k ɹ i
A C R I D	æ k ɹ ɪ d
A C R I M O N I O U S	æ k ɹ ʌ m oʊ n i ʌ s
A C R I M O N Y	æ k ɹ ɪ m oʊ n i
A C R O	æ k ɹ oʊ
A C R O B A T	æ k ɹ ʌ b æ t
A C R O B A T I C	æ k ɹ ʌ b æ t ɪ k
A C R O B A T I C S	æ k ɹ ʌ b æ t ɪ k s
A C R O B A T S	æ k ɹ ʌ b æ t s
A C R O L E I N	æ k ɹ oʊ l i n
A C R O N Y M	æ k ɹ ʌ n ɪ m
A C R O N Y M S	æ k ɹ ʌ n ɪ m z
A C R O P O L I S	ʌ k ɹ ɑ p ʌ l ʌ s
A C R O S S	ʌ k ɹ ɔ s
A C R Y L I C	ʌ k ɹ ɪ l ɪ k
A C R Y L I C S	ʌ k ɹ ɪ l ɪ k s
A C T	æ k t
A C T S	æ k t s
A C T A	æ k t ɑ
A C T A V A	æ k t ɑ v ʌ
A C T A V A S	æ k t ɑ v ʌ z
A C T A V A S	æ k t ɑ v ʌ z
A C T E D	æ k t ɪ d
A C T E L	æ k t ɛ l
A C T I G A L L	æ k t ɪ ɡ ɔ l
A C T I N	æ k t ʌ n
A C T I N G	æ k t ɪ ŋ
A C T I N I D E	æ k t ɪ n aɪ d
A C T I N I D I A	æ k t ɪ n ɪ d i ʌ
A C T I N O M Y C O S I S	æ k t ɪ n oʊ m aɪ k oʊ s ɪ s
A C T I O N	æ k ʃ ʌ n
A C T I O N S	æ k ʃ ʌ n z
A C T I O N A B L E	æ k ʃ ʌ n ʌ b ʌ l
A C T I O N S	æ k ʃ ʌ n z
A C T I V A S E	æ k t ɪ v eɪ z
A C T I V A T E	æ k t ʌ v eɪ t
A C T I V A T E D	æ k t ɪ v eɪ t ɪ d
A C T I V A T E S	æ k t ʌ v eɪ t s
A C T I V A T I N G	æ k t ʌ v eɪ t ɪ ŋ
A C T I V A T I O N	æ k t ʌ v eɪ ʃ ʌ n
A C T I V A T O R	æ k t ʌ v eɪ t ɝ
A C T I V E	æ k t ɪ v
A C T I V E S	æ k t ɪ v z
A C T I V E L Y	æ k t ɪ v l i
A C T I V E S	æ k t ɪ v z
A C T I V I S I O N	æ k t ɪ v ɪ ʒ ʌ n
A C T I V I S M	æ k t ɪ v ɪ z ʌ m
A C T I V I S T	æ k t ɪ v ɪ s t
A C T I V I S T S	æ k t ɪ v ɪ s t s
A C T I V I S T S	æ k t ɪ v ɪ s t s
A C T I V I T I E S	æ k t ɪ v ɪ t i z
A C T I V I T Y	æ k t ɪ v ɪ t i
A C T M E D I A	æ k t m i d i ʌ
A C T O D I N E	æ k t oʊ d aɪ n
A C T O N	æ k t ʌ n
A C T O R	æ k t ɝ
A C T O R S	æ k t ɝ z
A C T O R S	æ k t ɝ z
A C T O R S	æ k t ɝ z
A C T R E S S	æ k t ɹ ʌ s
A C T R E S S ' S	æ k t ɹ ʌ s ɪ z
A C T R E S S E S	æ k t ɹ ʌ s ɪ z
A C T S	æ k t s
A C T S	æ k s
A C T U A L	æ k tʃ ʌ w ʌ l
A C T U A L	æ k ʃ ʌ l
A C T U A L I T Y	æ k tʃ u æ l ʌ t i
A C T U A L I Z E	æ k tʃ u ʌ l aɪ z
A C T U A L L Y	æ k tʃ u ʌ l i
A C T U A L L Y	æ k tʃ l i
A C T U A L L Y	æ k ʃ ʌ l i
A C T U A R I A L	æ k tʃ u ɛ ɹ i ʌ l
A C T U A R I E S	æ k tʃ u ɛ ɹ i z
A C T U A R Y	æ k tʃ u ɛ ɹ i
A C T U A T E	æ k tʃ u eɪ t
A C T U A T O R	æ k t j u eɪ t ɝ
A C T U A T O R	æ k tʃ u eɪ t ɝ
A C T U A T O R S	æ k t j u eɪ t ɝ z
A C T U A T O R S	æ k tʃ u eɪ t ɝ z
A C T U S	æ k t ʌ s
A C U F F	ʌ k ʌ f
A C U I T Y	ʌ k j u ʌ t i
A C U M E N	ʌ k j u m ʌ n
A C U N A	ɑ k u n ʌ
A C U P U N C T U R E	æ k j u p ʌ ŋ k tʃ ɝ
A C U R A	æ k j ɝ ʌ
A C U R A S	æ k j ɝ ʌ z
A C U R A S	æ k j ɝ ʌ z
A C U S O N	æ k j u s ʌ n
A C U S T A R	æ k j u s t ɑ ɹ
A C U S Y S T	æ k j u s ɪ s t
A C U T E	ʌ k j u t
A C U T E L Y	ʌ k j u t l i
A C U T E N E S S	ʌ k j u t n ʌ s
A C Y C L O V I R	ʌ s ɪ k l oʊ v ɪ ɹ
A D	æ d
A D S	æ d z
A D H O C	æ d h ɑ k
A D L I B	æ d l ɪ b
A D N A U S E A M	æ d n ɔ z i ɑ m
A D N A U S E U M	æ d n ɔ z i ʌ m
A D A	eɪ d ʌ
A D A S	eɪ d ʌ z
A D A B E L	æ d ʌ b ɛ l
A D A B E L L E	æ d ʌ b ʌ l
A D A C H I	ɑ d ɑ k i
A D A G E	æ d ʌ dʒ
A D A G I O	ʌ d ɑ ʒ i oʊ
A D A H	æ d ɑ
A D A I R	ʌ d ɛ ɹ
A D A I R E	ɑ d ɛ ɹ
A D A K	ʌ d æ k
A D A L A H	ɑ d ɑ l ʌ
A D A L I A	ɑ d ɑ l i ʌ
A D A M	æ d ʌ m
A D A M S	æ d ʌ m z
A D A M A N T	æ d ʌ m ʌ n t
A D A M A N T L Y	æ d ʌ m ʌ n t l i
A D A M C I K	ɑ d ʌ m tʃ ɪ k
A D A M C Z A K	ɑ d ʌ m tʃ æ k
A D A M C Z Y K	ɑ d ʌ m tʃ ɪ k
A D A M E	ɑ d ɑ m i
A D A M E C	ʌ d ɑ m ɛ k
A D A M E K	ʌ d ɑ m ɛ k
A D A M E S	ʌ d eɪ m z
A D A M I	ɑ d ɑ m i
A D A M I K	ʌ d ɑ m ɪ k
A D A M I N A	ɑ d ɑ m i n ʌ
A D A M K U S	æ d ʌ m k ʌ s
A D A M O	ɑ d ɑ m oʊ
A D A M O W I C Z	ʌ d ɑ m ʌ v ɪ tʃ
A D A M S	æ d ʌ m z
A D A M S	æ d ʌ m z
A D A M S S	æ d ʌ m z ɪ z
A D A M S K I	ʌ d æ m s k i
A D A M S O N	æ d ʌ m s ʌ n
A D A M S T O W N	æ d ʌ m s t aʊ n
A D A N	eɪ d ʌ n
A D A P S O	ʌ d æ p s oʊ
A D A P T	ʌ d æ p t
A D A P T A B I L I T Y	ʌ d æ p t ʌ b ɪ l ʌ t i
A D A P T A B L E	ʌ d æ p t ʌ b ʌ l
A D A P T A P L E X	ʌ d æ p t ʌ p l ɛ k s
A D A P T A T I O N	æ d ʌ p t eɪ ʃ ʌ n
A D A P T A T I O N S	æ d æ p t eɪ ʃ ʌ n z
A D A P T A T I O N S	æ d ʌ p t eɪ ʃ ʌ n z
A D A P T E C	ʌ d æ p t ɛ k
A D A P T E C S	ʌ d æ p t ɛ k s
A D A P T E D	ʌ d æ p t ɪ d
A D A P T E R	ʌ d æ p t ɝ
A D A P T E R S	ʌ d æ p t ɝ z
A D A P T I N G	ʌ d æ p t ɪ ŋ
A D A P T I V E	ʌ d æ p t ɪ v
A D A P T O R	ʌ d æ p t ɝ
A D A P T O R S	ʌ d æ p t ɝ z
A D A P T S	ʌ d æ p t s
A D A R	ʌ d ɑ ɹ
A D A R A N D	æ d ʌ ɹ æ n d
A D A S	eɪ d ʌ z
A D A Y	ʌ d eɪ
A D A Z A	ʌ d ɑ z ʌ
A D C O C K	ʌ d k ɑ k
A D C O X	ʌ d k ɑ k s
A D D	æ d
A D D A I R	ʌ d ɛ ɹ
A D D A M S	æ d ʌ m z
A D D E D	æ d ɪ d
A D D E N D U M	ʌ d ɛ n d ʌ m
A D D E N D U M S	ʌ d ɛ n d ʌ m z
A D D E O	ɑ d i oʊ
A D D E R	æ d ɝ
A D D E R L E Y	ʌ d ɝ l i
A D D I C K S	æ d ɪ k s
A D D I C T	ʌ d ɪ k t
A D D I C T	æ d ɪ k t
A D D I C T E D	ʌ d ɪ k t ɪ d
A D D I C T I N G	ʌ d ɪ k t ɪ ŋ
A D D I C T I O N	ʌ d ɪ k ʃ ʌ n
A D D I C T I O N S	ʌ d ɪ k ʃ ʌ n z
A D D I C T I V E	ʌ d ɪ k t ɪ v
A D D I C T S	ʌ d ɪ k t s
A D D I C T S	æ d ɪ k t s
A D D I D A S	ʌ d i d ʌ s
A D D I D A S	ʌ d i d ʌ s
A D D I D A S S	ʌ d i d ʌ s ɪ z
A D D I D A S E S	ʌ d i d ʌ s ɪ z
A D D I E	æ d i
A D D I N G	æ d ɪ ŋ
A D D I N G T O N	æ d ɪ ŋ t ʌ n
A D D I S	ɑ d ɪ s
A D D I S A B A B A	ɑ d ɪ s ʌ b ɑ b ɑ
A D D I S A B A B A	ɑ d i s ʌ b ɑ b ɑ
A D D I S O N	æ d ɪ s ʌ n
A D D I S O N S	æ d ɪ s ʌ n z
A D D I T I O N	ʌ d ɪ ʃ ʌ n
A D D I T I O N A L	ʌ d ɪ ʃ ʌ n ʌ l
A D D I T I O N A L L Y	ʌ d ɪ ʃ ʌ n ʌ l i
A D D I T I O N S	ʌ d ɪ ʃ ʌ n z
A D D I T I V E	æ d ɪ t ɪ v
A D D I T I V E S	æ d ɪ t ɪ v z
A D D L E	æ d ʌ l
A D D L E D	æ d ʌ l d
A D D L E M A N	æ d ʌ l m ʌ n
A D D R E S S	æ d ɹ ɛ s
A D D R E S S	æ d ɹ ɛ s
A D D R E S S A B L E	æ d ɹ ɛ s ʌ b ʌ l
A D D R E S S E D	ʌ d ɹ ɛ s t
A D D R E S S E E	æ d ɹ ɛ s i
A D D R E S S E S	æ d ɹ ɛ s ɪ z
A D D R E S S E S	æ d ɹ ɛ s ɪ z
A D D R E S S I N G	æ d ɹ ɛ s ɪ ŋ
A D D S	æ d z
A D D U C I	ɑ d u tʃ i
A D D U C T	æ d ʌ k t
A D D W E S T	æ d w ɛ s t
A D D Y	æ d i
A D D Y S T O N	æ d i s t ʌ n
A D E	eɪ d
A D E E	ʌ d i
A D E L	ʌ d ɛ l
A D E L A	ʌ d ɛ l ʌ
A D E L A A R	æ d ʌ l ɑ ɹ
A D E L A I D E	æ d ʌ l eɪ d
